"","","United Kingdom ","Wales ","","Wales "
"","",".","West Wales and the Valleys ","East Wales ","."
"All industries ","",29977600,780900,549500,1330500
"All industries ","Agriculture, forestry and fishing ",410000,25600,12600,38200
"","Production ",2790900,86400,63400,149800
"","Construction ",2045100,57800,35500,93200
"","Wholesale, retail, transport, hotels and food ",7817600,206500,137900,344500
"","Information and communication ",1167500,12600,15300,27900
"","Finance and insurance activities ",1062400,11600,18200,29800
"","Real estate activities ",445600,8000,6600,14600
"","Professional, scientific and technical activities; administrative and support service activities ",4678900,74800,71000,145800
"","Public administration, defence, education and health ",7881600,258900,159700,418600
"","Other service activities ",1678000,38700,29300,68000


