"","","United Kingdom ","Wales ","","Wales "
"","",".","West Wales and the Valleys ","East Wales ","."
"All industries ","",29966500,783400,552900,1336300
"All industries ","Agriculture, forestry and fishing ",389600,25700,12000,37700
"","Production ",2832800,90200,66600,156700
"","Construction ",2169500,60700,35900,96600
"","Wholesale, retail, transport, hotels and food ",7899000,207700,137700,345400
"","Information and communication ",1153800,12900,14900,27800
"","Finance and insurance activities ",1089300,13900,19800,33800
"","Real estate activities ",465500,7100,6500,13500
"","Professional, scientific and technical activities; administrative and support service activities ",4572800,72400,72500,144800
"","Public administration, defence, education and health ",7739900,255700,160000,415600
"","Other service activities ",1654600,37000,27200,64200


