"","","United Kingdom ","Wales ","","Wales "
"","",".","West Wales and the Valleys ","East Wales ","."
"All industries ","",30824000,792000,573100,1365100
"All industries ","Agriculture, forestry and fishing ",370500,23400,13300,36800
"","Production ",2802800,94400,69800,164200
"","Construction ",2025900,55300,33900,89300
"","Wholesale, retail, transport, hotels and food ",7977800,203900,141300,345100
"","Information and communication ",1274600,12900,14000,26900
"","Finance and insurance activities ",1058600,13200,19200,32400
"","Real estate activities ",515800,10200,7800,18000
"","Professional, scientific and technical activities; administrative and support service activities ",5134900,75100,74800,149900
"","Public administration, defence, education and health ",7915200,258500,168500,427000
"","Other service activities ",1747800,45200,30400,75500


