"","","United Kingdom ","Wales ","","Wales "
"","",".","West Wales and the Valleys ","East Wales ","."
"All industries ","",32144400,815000,588800,1403800
"All industries ","Agriculture, forestry and fishing ",402900,24900,15800,40700
"","Production ",2834800,101300,71000,172300
"","Construction ",2158200,61100,31500,92600
"","Wholesale, retail, transport, hotels and food ",8287400,213700,144000,357700
"","Information and communication ",1360700,11600,12300,24000
"","Finance and insurance activities ",1055600,11500,19300,30800
"","Real estate activities ",552700,10700,8400,19100
"","Professional, scientific and technical activities; administrative and support service activities ",5679700,78900,87400,166200
"","Public administration, defence, education and health ",7944200,257700,165400,423200
"","Other service activities ",1869200,43500,33600,77200


